id,created_at,utc_offset,retweet_count,reply_screen_name,source,place_full_name,user_location,hashtags,urls,user_mentions,text,text_clean,hour,ToD,compound,neg,neu,pos
808310467743641600,2016-12-12 14:00:07,-18000.0,0,hungryhomemaker,Twitter Web Client,Canada,"Woodbridge, Ontario",[],[],['hungryhomemaker'],@hungryhomemaker This is adorable! ? How did your kids react to this fun surprise?, This is adorable! ? How did your kids react to this fun surprise?,14,morning,0.8579,0.0,0.487,0.513
808310471036207105,2016-12-12 14:00:08,,0,lenadunham,Twitter Web Client,Canada,,[],[],['lenadunham'],@lenadunham this is for the dopes who say that they prefer john kasich to hillary clinton., this is for the dopes who say that they prefer john kasich to hillary clinton.,14,morning,0.0,0.0,1.0,0.0
808310483233230849,2016-12-12 14:00:11,-18000.0,0,,Twitter for iPhone,"Minneapolis, MN",Bread Winner State Of Mind,[],[],[],You can't force nobody to be in your life,You can't force nobody to be in your life,14,morning,0.0,0.0,1.0,0.0
808310494759124993,2016-12-12 14:00:14,,0,PhyddleDD,Twitter Web Client,"Wisconsin, USA",Wisconsin,[],[],['PhyddleDD'],@PhyddleDD Stop with the catch phrases and tell me what you would do about healthcare wages you abhor so much if you had the power to do so., Stop with the catch phrases and tell me what you would do about healthcare wages you abhor so much if you had the power to do so.,14,morning,-0.6369,0.172,0.828,0.0
808310507916709888,2016-12-12 14:00:17,-18000.0,0,mesange50,Twitter Web Client,Canada,Canada,[],[],"['mesange50', 'Luyacreations', 'LavigneSuzanne', 'SLARTZONE', 'encarnacion67', 'JosetteJ1', 'LaterreurG', 'liseroy213']","@mesange50 @Luyacreations @LavigneSuzanne @SLARTZONE @encarnacion67 @JosetteJ1 @LaterreurG @liseroy213 Agréable ce bon café, merci!","        Agréable ce bon café, merci!",14,morning,0.0,0.0,1.0,0.0
808310518561665024,2016-12-12 14:00:19,,0,,TweetMyJOBS,"Minneapolis, MN",,"['job', 'Minneapolis', 'NPJobs', 'NursePractitioner']","['http://bit.ly/2dydYaK', 'https://twitter.com/i/web/status/808310518561665024']",[],"Can you recommend anyone for this #job in #Minneapolis, MN? https://t.co/j2OBvgzZxb #NPJobs #NursePractitioner… https://t.co/WI6xuwNm5z",Can you recommend anyone for this  in  MN?    ,14,morning,0.3612,0.0,0.737,0.263
808310544985915394,2016-12-12 14:00:26,-21600.0,0,GrahamZima,Twitter for iPhone,"Eden Prairie, MN",Minnesota,[],['https://twitter.com/washingtonpost/status/808309686785179648'],['GrahamZima'],@GrahamZima https://t.co/FZk4Zz0CHY, ,14,morning,0.0,0.0,0.0,0.0
808310588363436032,2016-12-12 14:00:36,-28800.0,0,,Foursquare,"Wisconsin, USA","Wisconsin, USA",[],['https://www.swarmapp.com/c/3Hxv7Rqxqas'],[],"I'm at Jefferson County Human Services Department in Jefferson, WI https://t.co/McqhW3WVkx","I'm at Jefferson County Human Services Department in Jefferson, WI ",14,morning,0.0,0.0,1.0,0.0
808310595460206596,2016-12-12 14:00:38,-21600.0,0,,Instagram,"Minneapolis, MN","Minneapolis, MN",[],['https://www.instagram.com/p/BN629vjgptr/'],[],"Best compliment ever from Jon, saying I look very Kerry Washington here. Fashionwise I aspire to… https://t.co/61iynHcHbe","Best compliment ever from Jon, saying I look very Kerry Washington here. Fashionwise I aspire to… ",14,morning,0.8074,0.0,0.622,0.378
808310609867481089,2016-12-12 14:00:41,-18000.0,0,,TweetMyJOBS,"Minneapolis, MN","St. Paul, MN","['Minneapolis', 'job', 'Education', 'Hiring', 'CareerArc']",['http://bit.ly/1UUwM1o'],[],"If you're looking for work in #Minneapolis, MN, check out this #job: https://t.co/zgF0XUbBzh #Education #Hiring #CareerArc","If you're looking for work in  MN, check out this     ",14,morning,0.0,0.0,1.0,0.0
